"DEPOSIT.NAME","STATE.or.PROVINCE","COUNTRY","LATITUDE","LONGITUDE","ESTIMATED.LOCATION...Yes.or.No.","RESERVES..RESOURCES.DESIGNATION","RESERVES..RESOURCES.NUMBER","YEARS.NEEDED.TO.DEVELOP","Timeline..1...Short..2...Long.","REE.MINERALOGY","REEs","HEAVY.or.LIGHT","APPLICATIONS","BYPRODUCT...Yes.or.No.","TONNAGE.AND.GRADE","OTHER.ORE.or.SIGNIFICANT.MINERALS","GANGUE.and.ROCKFORMING.MINERALS","AGE..Method..Mineral..Rock.","DEPOSIT.TYPE","HOST.ROCK","COMPANY","COMMENTS","REFERENCES","Icon"
"Arenopolis (Areianopolis)","Goias","Brazil",-16.3667,-51.5333,"No","Inferred resources",5,9999,1,"Baddeleyite, Eudialyte","Ce, La, Y, Nd, Pr, Gd","Light/Heavy","Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Phosphors, Petroleum refining, Ceramics, Magnets","No","Not Available","Baddelelyite","Albite, Orthoclase, Nepheline, Aegirine, Analcime, Biotite, Cancrinite, Zeolite, Olivine, Pyroxene","Cretaceous?","Alkalic Igneous","Alkali metagabbro, Ijolite, Melteigite, Pyroxenite, Nepheline Syenite, Foyaite, Laterite","Not Available","Occurrence; Rare earths concentrated in dikes within the syenite.","Woolley, 1987","wht_blank"
"Argor (South Bluff Creek, James Bay, Alpha-B)","Ontario","Canada",50.75,-81.01667,"No","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Apatite, Ti-magnetite, Pyrochlore, Zircon, Pyrite, Chalcopyrite","Dolomite, Riebeckite, Phlogopite, Calcite, Olivine, Biotite, Augite","Not Available","Carbonatite","Carbonatite, Pyroxenite, Gneiss","Not Available","Occurrence, uncertain","Woolley, 1987","wht_blank"
"Arimoor","Benue Plateau","Nigeria",8.4333,9.2833,"Yes","Probable reserves",2,3,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","Not Available","Cassiterite","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Past byproduct producer (1988); Location estimated to be near Benue River","Roskill, 1988","ltblu_circle"
"Atlantida","Not Available","Uruguay",-32.2,-55.8,"No","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","3.2% Monazite","Not Available","Not Available","Not Available","Placer, Alluvial","Sand","Not Available","Occurrence, uncertain","Jackson and Christiansen, 1993","wht_blank"
"Atlin-Ruffner","Ontario","Canada",45.016667,-78.18333,"No","Indicated resources",4,7,1,"Allanite","La, Ce","Light","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys","No","0.0366 Mt @ 2.29% CeO2","Not Available","Not Available","Not Available","Other Igneous-Affiliated (including Pegmatites and Veins.)","Not Available","Uranex Resources Ltd. (1984)","Occurrence; Pegmatite zone is 61 m long, 1.8 m wide, 49 m deep and contains allanite crystals of to 15 cm in size.","Canada Department of Energy, Mines, and Resources, 1984","orange_blank"
"Australind","Western Australia","Australia",-33.2333,115.75,"No","Indicated resources",4,7,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","6 Mt @ 0.03% Monazite (15% Heavy Minerals)","Ilmenite, Rutile, Zircon, Leucoxene, Garnet","Quartz","Quaternary","Placer, Shoreline","Sand","Not Available","Occurrence","Jackson and Christiansen, 1993","orange_blank"
"Ayer Kuning","Perak","Malaysia",4.18333,101.15,"Yes","Proved reserves",1,0,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","Yes","Not Available","Cassiterite","Not Available","Not Available","Placer, Shoreline","Not Available","Tronah Mines Malaysia Bhd. (1988)","Byproduct producer (1988); Lat/Long for city of Ayer Kuning","Roskill, 1988","grn_circle"
"Azov Sea Coast Dikes","Not Available","Ukraine",47.18333,36.5667,"No","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Ti, P, Nb","Pyroxene","Not Available","Alkalic Igneous","Alkaline pyroxenites, Jacupirangite","Not Available","Occurrence; 15 alkaline ultrabasic dikes form a belt 100 km wide and > 35 km long.","Kogarko and others, 1995","wht_blank"
"Azovske","Not Available","Ukraine",45.58333,34.5667,"No","Indicated resources",4,7,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Apatite, Zircon","Not Available","Not Available","Other Igneous-Affiliated (including Pegmatites and Veins.)","Not Available","Not Available","Potential producer; Hosted in igneous rock.","O'Driscoll, 1998; Location from NIMA, 2001","orange_blank"
"Badarmokam","Not Available","Bangladesh",23.6833,90.35,"Yes","Indicated resources",4,7,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","1.765 Mt @ 0.28% Monazite (1983)","Ilmenite, Leucoxene, Magnetite, Zircon, Rutile","Not Available","Not Available","Placer, Shoreline","Not Available","Not Available","Occurrence, uncertain; Known to be somewhere in Bangladesh. Placemarker in the middle of Bangladesh.","ESCAP and ABMRGG, 1988","orange_blank"
"Baerzhe","Jilin (Inner Mongolia)","China",40,125.5,"Yes","Measured resources",3,5,1,"Hingganite, Pyrochlore, Synchysite, Monazite","Y, Nd, Ce","Heavy/Light","Phosphors, Ceramics, Magnets, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Batteries, Petroleum refining","No","0.2-0.7% REO, 0.5-3.4% ZrO2, 0.02-0.3% Nb2O5, 0.02-0.15% BeO","Columbite, Zircon, Magnetite-Hematite, Fluorite, Be, U, Fe-Thorite, Rutile, Ilmenite","Quartz, Albite, Calcite, Aegirine, Goethite","127 Ma","Alkalic Igneous","Alkalic riebeckite granite","Not Available","REE, Zr, Nb Be resource; Veinlets and disseminations.","Wu and others, 1996; Location from Fig. 1 http://www.sciencedirect.com/science?_ob=MImg&_imagekey=B6V6J-448RDSF-1-13&_cdi=5816&_user=209810&_pii=S0024493701000664&_origin=search&_coverDate=12/31/2001&_sk=999409995&view=c&wchp=dGLbVlz-zSkWb&md5=182a12d0236eed441043c91180124c93&ie=/sdarticle.pdf","ylw_blank"
"Bailundo","Not Available","Angola",-12.15,15.95,"No","Inferred resources",5,9999,1,"Bastnasite, Parisite, Synchysite, RE phosphates","Y, Eu, Gd, Dy, Er, Tm, Lu, Ce, La, Nd","Heavy/Light","Phosphors, Ceramics, Magnets, Lasers, Metal alloys, Nuclear industry, Auto catalysts, Glass additives, Polishing compounds, Batteries, Petroleum refining","No","Not Available","Apatite, Barite, Pyrochlore, Magnetite, Hollandite, Strontianite","Calcite, Dolomite, Ankerite","Cretaceous","Carbonatite","Calcite carbonatite, Phoscorite, Fenite","Not Available","Occurrence; Small scale mining of magnetite has occurred.","Woolley, 2001; Alberti and others, 1999","wht_blank"
"Baima","Guangxi/Luchuan","China",26.55,100.6333,"Yes","Inferred resources",5,9999,1,"Not Available","Not Available","Not Available","Not Available","No","Not Available","Not Available","Not Available","Not Available","Other - Uncertain","Not Available","Not Available","Occurrence, uncertain; Lat/long for Baima County, China","Wen Lu, 1998","wht_blank"
"Baja Guainia area","Not Available","Colombia",3.6,-74.6833,"Yes","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Not Available","Not Available","Precambrian","Placer, Paleoplacer","Quartzite","Not Available","Occurrence; Between Donaco and Santa Elena. Lat/Long for Santa Elena, Colombia","USGS and INGEOMINAS, 1983","wht_blank"
"Bakhuis Mountains - K/3 Deposit","Not Available","Surinam",4.4333,-57.0667,"No","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","Not Available","Apatite; Wavellite","Not Available","Late Archean to Early Proterozoic-- 2000-2600 Ma","Alkalic Igneous","Plagioclase-apatite-clinopyroxene rock; Clinopyroxene-bearing syenite; Mangerite; Pelitic, Quartzitic and Calcsilicate gneiss and granulite; Mafic to ultramafic igneous rocks","Not Available","Occurrence","Dahlberg, 1989","wht_blank"
"Bald Mountain","Wyoming","United States of America",44.8,-107.8,"Yes","Indicated resources",4,15,2,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","18.1 Mt @ 0.13% Monazite or 0.077% REO (1983)","Ilmenite, Au, Zircon, Magnetite, Hematite","Quartz","Middle Cambrian","Placer, Paleoplacer","Conglomerate","Not Available","Potential resource; Fossil fluvial placer. Little Big Horn River area. Two sites contain at least 1.0 kg Monazite/t of rock. Resource is poorly defined.","Castor, 1994; Jackson and Christiansen, 1993; King, 1991","red_blank"
"Ban Yun","Phuket","Thailand",7.95,98.333,"Yes","Inferred resources",5,9999,1,"Monazite","La, Ce, Pr, Nd, Sm, Tb","Light/Heavy","Petroleum refining, Batteries, Phosphors, Auto catalysts, Glass additives, Polishing compounds, Metal alloys, Magnets","No","0.2% Y2O3, 0.004% Monazite (1971)","Cassiterite, Ilmenite, Zircon","Quartz","Not Available","Placer, Alluvial","Not Available","Not Available","Occurrence, uncertain; Lat/Long for middle of Phuket, Thailand","ESCAP and ABMRGG, 1988","wht_blank"
